Symbol,Price~,Type,Strike,Expires,DTE,"Bid x Size","Ask x Size",Trade,Size,Side,Premium,Volume,"Open Int",IV,Delta,Code,*,Time
LULU,163.79,Put,320,2026-01-16T16:30:00-06:00,92,"155.60 x 6","160.15 x 54",160.15,6990,ask,111944800,12340,640,105.29%,-0.8524735946,MLFT,BuyToOpen,"14:53:32 ET"
TSLA,427.0699,Put,475,2025-10-17T16:30:00-05:00,1,"48.45 x 54","48.75 x 8",48.47,20280,mid,98297100,25057,3382,114.18%,-0.9602518081,MLFT,ToOpen,"15:02:49 ET"
LULU,163.79,Put,290,2026-01-16T16:30:00-06:00,92,"123.10 x 37","130.30 x 37",129.89,7300,mid,94819600,13340,1515,93.12%,-0.8486083989,MLFT,N/A,"14:53:32 ET"
LULU,162.17,Put,320,2026-01-16T16:30:00-06:00,92,"153.05 x 49","160.15 x 51",155.6,5350,mid,83246000,5350,640,72.87%,-0.9831586298,SLFT,ToOpen,"14:33:03 ET"
LULU,163.79,Put,350,2026-01-16T16:30:00-06:00,92,"185.55 x 6","189.20 x 37",189.2,4170,ask,78896400,6970,358,109.41%,-0.8779371601,MLFT,BuyToOpen,"14:53:32 ET"
LULU,163.79,Put,290,2026-01-16T16:30:00-06:00,92,"123.10 x 37","130.30 x 37",129.9,6040,mid,78459600,13340,1515,93.12%,-0.8486083989,MLFT,N/A,"14:53:32 ET"
MSTR,286.29,Put,350,2025-10-17T16:30:00-05:00,1,"63.40 x 235","64.70 x 71",63.4,12340,bid,78235600,13916,1387,156.03%,-0.9928022997,MLFT,SellToOpen,"15:04:02 ET"
MSTR,286.29,Put,360,2025-10-17T16:30:00-05:00,1,"73.35 x 261","74.65 x 63",74.65,9790,ask,73082300,9819,943,175.03%,-0.9934761691,MLFT,BuyToOpen,"15:04:02 ET"
TSLA,427.0699,Put,480,2025-10-17T16:30:00-05:00,1,"53.30 x 121","53.85 x 85",53.3,11680,bid,62254400,21556,1241,123.75%,-0.962069638,MLFT,SellToOpen,"15:02:49 ET"
MSTR,284.4385,Put,500,2025-10-17T16:30:00-05:00,1,"214.15 x 14","215.50 x 11",214.9,2425,mid,52113200,2600,252,0.00%,0,SLFT,ToOpen,"14:31:55 ET"
LULU,162.17,Put,350,2026-01-16T16:30:00-06:00,92,"183.00 x 30","188.05 x 10",185.45,2750,mid,50998700,2800,358,0.00%,0,SLFT,ToOpen,"14:33:03 ET"
MSTR,286.93,Put,500,2025-10-17T16:30:00-05:00,1,"212.25 x 6","213.75 x 11",213.75,2340,ask,50017500,5760,252,0.00%,0,MLFT,N/A,"15:00:23 ET"
ALAB,161.21,Put,220,2025-10-17T16:30:00-05:00,1,"56.90 x 122","59.70 x 26",58.1,7550,mid,43865500,7568,1118,0.00%,0,SLFT,ToOpen,"14:36:21 ET"
META,709.38,Put,755,2025-10-17T16:30:00-05:00,1,"45.55 x 12","47.00 x 123",46.13,8500,mid,39210500,8531,1086,71.93%,-0.9495479615,MLFT,ToOpen,"14:53:15 ET"
MSTR,286.29,Put,370,2025-10-17T16:30:00-05:00,1,"83.35 x 60","84.65 x 42",84.65,4430,ask,37499900,4443,427,180.38%,-0.9968911683,MLFT,BuyToOpen,"15:04:02 ET"
META,709.38,Put,775,2025-10-17T16:30:00-05:00,1,"64.50 x 159","67.25 x 63",67.25,5280,ask,35508000,8035,449,89.86%,-0.9689139573,MLFT,BuyToOpen,"14:53:15 ET"
AVGO,353.66,Call,220,2027-01-15T16:30:00-06:00,456,"159.25 x 6","159.55 x 3983",159.55,2029,ask,32372600,2890,4304,55.85%,0.86392116678693,AUTO,N/A,"13:53:42 ET"
MSTR,286.29,Put,345,2025-10-17T16:30:00-05:00,1,"58.40 x 58","59.70 x 45",58.58,5480,mid,32101800,5543,717,135.84%,-0.9960451582,MLFT,ToOpen,"15:04:02 ET"
TSLA,427.0699,Put,480,2025-10-17T16:30:00-05:00,1,"53.30 x 121","53.85 x 85",53.31,5960,mid,31772700,21556,1241,123.75%,-0.962069638,MLFT,N/A,"15:02:49 ET"
ALAB,164.53,Put,220,2025-10-17T16:30:00-05:00,1,"55.10 x 38","57.70 x 113",57.7,5260,ask,30350200,14228,1118,355.42%,-0.929105077,MLFT,N/A,"14:53:24 ET"
ALAB,164.19,Put,240,2025-10-17T16:30:00-05:00,1,"73.20 x 150","76.20 x 59",76.2,3763,ask,28674000,9703,532,377.28%,-0.9660401835,MLFT,N/A,"15:12:52 ET"
